so_thich_chinh,mon_hoc_yeu_thich,ky_nang_noi_bat,tinh_cach,moi_truong_lam_viec_mong_muon,muc_tieu_nghe_nghiep,mo_ta_ban_than,dinh_huong_tuong_lai,nganh_phu_hop
Y te,Tin hoc,Giai quyet van de,Kien tri,Van phong,Khoi nghiep,"Em co xu huong tap trung vao Em thich lam viec voi Dinh duong, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Dinh duong.,Dinh duong
Giao duc,Van,Can than,Ban linh,Truong hoc,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Khai thac may tau thuy va quan ly ky thuat, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Khai thac may tau thuy va quan ly ky thuat.",Khai thac may tau thuy va quan ly ky thuat
Nghe thuat,Tin hoc,Sang tao,Kien tri,Sang tao,Theo dam me,"Em co xu huong tap trung vao noi that cong cong anh sang tu nhien my thuat, de ket hop dam me voi nang luc cua minh. Em cung quan tam den xay dung bo nhan dien thuong hieu da nen tang.","Trong 3-5 nam toi, em muon lam kien truc su thiet ke cong trinh.",Kien truc
Ngon ngu,Anh,Lanh dao,Ban linh,Linh hoat,Khoi nghiep,"Gan day em dau tu thoi gian cho xay dung ky nang viet hoc thuat va thuyet trinh, nham nang cao co hoi nghe nghiep sau nay. Em cung quan tam den du lich lu hanh tour huong dan vien khach san.",Em dinh huong se lam bien dich vien hoac giao vien tieng Anh.,Ngon ngu Anh
Y te,Van,Lanh dao,Kien nhan,Sang tao,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Nghe thuat so, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Nghe thuat so.,Nghe thuat so
Ngon ngu,Ly,Phan tich,Huong ngoai,Truong hoc,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Ky thuat xet nghiem y hoc, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Ky thuat xet nghiem y hoc.,Ky thuat xet nghiem y hoc
Phap ly,Tin hoc,Ky luat,Nang dong,Ky thuat,On dinh,"Ban than em yeu thich Em quan tam lam viec voi Quay phim - Dung phim, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Kinh doanh,Toan,Can than,Ban linh,Van phong,Cong hien xa hoi,"Em rat quan tam den tu van quy trinh van hanh cung nhu toi uu hieu suat, de tao gia tri thuc te cho cong viec. Em cung quan tam den tu van ho so thue va quan tri rui ro tai chinh.",Duong dai em mong muon quan ly bo phan hoac dieu hanh cong ty.,Quan tri kinh doanh
Ngon ngu,Van,Sang tao,Kien nhan,Benh vien,On dinh,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ngon ngu Han, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ngon ngu Han.",Ngon ngu Han
Cong nghe,Ly,Phan tich,Ti mi,Linh hoat,On dinh,"Em thuong tim hieu them ve day chuyen san xuat robot cong nghiep nhiet dong hoc, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon lam ky su co khi che tao va bao tri.",Ky thuat co khi
Nghe thuat,Tin hoc,Sang tao,Nang dong,Van phong,Khoi nghiep,"Ban than em yeu thich Em quan tam lam viec voi Khai thac may tau thuy va quan ly ky thuat, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Khai thac may tau thuy va quan ly ky thuat.,Khai thac may tau thuy va quan ly ky thuat
Du lich,Su,Lanh dao,Huong noi,Sang tao,On dinh,"Em co xu huong tap trung vao giao tiep khach hang cung nhu tao trai nghiem du lich, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon lam chuyen gia du lich hoac o quan ly dich vu.",Du lich
Nghe thuat,Sinh,Ky luat,Ti mi,Benh vien,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ke toan, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ke toan.,Ke toan
Kinh doanh,Toan,Sang tao,Ti mi,Benh vien,Theo dam me,"Em rat quan tam den Em thich lam viec voi Ke toan, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ke toan.,Ke toan
Cong nghe,Sinh,Kien nhan,Huong noi,Ky thuat,Theo dam me,"Em thuong tim hieu them ve Em quan tam lam viec voi He thong thong tin, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc He thong thong tin.",He thong thong tin
Du lich,Van,Thuyet trinh,Kien tri,Linh hoat,Thu nhap cao,"Ban than em yeu thich thuyet trinh van hoa lich su di san the gioi, de ket hop dam me voi nang luc cua minh.",Em dinh huong se tro thanh huong dan du lich chuyen nghiep.,Huong dan du lich
Ngon ngu,Tin hoc,Tham my,Kien nhan,Benh vien,On dinh,"Em rat quan tam den Em thich lam viec voi Tu dong hoa, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Tu dong hoa.,Tu dong hoa
Cong nghe,Anh,Phan tich,Kien tri,Truong hoc,Khoi nghiep,"Em rat quan tam den Em quan tam lam viec voi Quan ly benh vien, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Giao duc,Toan,Phan tich,Kien tri,Benh vien,Khoi nghiep,"Ban than em yeu thich Em quan tam lam viec voi Duoc hoc, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Duoc hoc.,Duoc hoc
Cong nghe,Hoa,Kien nhan,Kien tri,Truong hoc,Theo dam me,"Em thuong tim hieu them ve Em thich lam viec voi Ky thuat dien dien tu, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Ky thuat dien dien tu.,Ky thuat dien dien tu
Kinh doanh,Toan,Can than,Kien tri,Van phong,Khoi nghiep,"Gan day em dau tu thoi gian cho tu van quy trinh van hanh va toi uu hieu suat, vi em thay linh vuc nay phu hop tinh cach. Em cung quan tam den kiem soat dong tien va lap ke hoach ngan sach.","Trong 3-5 nam toi, em muon quan ly bo phan hoac dieu hanh cong ty.",Quan tri kinh doanh
Kinh doanh,Tin hoc,Sang tao,Huong ngoai,Ky thuat,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Vat ly tri lieu cung nhu phuc hoi chuc nang, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.",Vat ly tri lieu va phuc hoi chuc nang
Phap ly,Hoa,Lanh dao,Kien nhan,Van phong,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Ngon ngu Han, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ngon ngu Han.",Ngon ngu Han
Y te,Tin hoc,Kien nhan,Ban linh,Ky thuat,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi He thong thong tin, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc He thong thong tin.",He thong thong tin
Nghe thuat,Toan,Can than,Ban linh,Ky thuat,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Kinh doanh quoc te, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
Giao duc,Ly,Giao tiep,Kien tri,Ky thuat,Theo dam me,"Gan day em dau tu thoi gian cho Em thich lam viec voi Su pham Sinh hoc, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Su pham Sinh hoc.,Su pham Sinh hoc
Ngon ngu,Tin hoc,Can than,Ti mi,Benh vien,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Rang ham mat, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Rang ham mat.,Rang ham mat
Cong nghe,Tin hoc,Lanh dao,Nang dong,Ky thuat,Thu nhap cao,"Ban than em yeu thich Em quan tam lam viec voi Vat ly tri lieu va phuc hoi chuc nang, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.",Vat ly tri lieu va phuc hoi chuc nang
Cong nghe,Su,Lanh dao,Ti mi,Truong hoc,Theo dam me,"Em rat quan tam den Em thich lam viec voi Ho sinh, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Ho sinh.,Ho sinh
Phap ly,Su,Lap luan,Kien nhan,Van phong,Khoi nghiep,"Ban than em yeu thich lap luan logic cung nhu phan bien tren co so chung cu, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se lam luat su hoac chuyen vien phap che.,Luat
Du lich,Toan,Giao tiep,Huong noi,Linh hoat,On dinh,"Gan day em dau tu thoi gian cho dieu phoi hotel flights va hoat dong du lich, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon dieu hanh cong ty du lich hoac travel agency.",Quan tri dich vu du lich va lu hanh
Y te,Toan,Ban linh,Kien tri,Van phong,Theo dam me,"Em co xu huong tap trung vao Em thich lam viec voi Ky thuat phan mem, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ky thuat phan mem.,Ky thuat phan mem
Cong nghe,Tin hoc,Can than,Kien tri,Truong hoc,Theo dam me,"Em thuong tim hieu them ve Em quan tam lam viec voi Ky thuat xay dung, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ky thuat xay dung.,Ky thuat xay dung
Ngon ngu,Toan,Can than,Kien tri,Ky thuat,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Quan ly benh vien, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Cong nghe,Van,Phan tich,Ban linh,Truong hoc,Theo dam me,"Ban than em yeu thich Em thich lam viec voi Dieu khien va quan ly tau bien, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Dieu khien va quan ly tau bien.,Dieu khien va quan ly tau bien
Phap ly,Su,Ban linh,Ban linh,Van phong,Theo dam me,"Em thuong tim hieu them ve tu van phap luat va giai quyet tranh chap dan su, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se lam luat su hoac chuyen vien phap che.,Luat
Ngon ngu,Tin hoc,Lanh dao,Nang dong,Benh vien,Cong hien xa hoi,"Em thuong tim hieu them ve Em quan tam lam viec voi Quay phim - Dung phim, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Nghe thuat,Van,Kien nhan,Huong ngoai,Van phong,Theo dam me,"Gan day em dau tu thoi gian cho Em thich lam viec voi He thong thong tin, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc He thong thong tin.,He thong thong tin
Ngon ngu,Su,Phan tich,Nang dong,Truong hoc,Theo dam me,"Em thuong tim hieu them ve Em quan tam lam viec voi An ninh mang, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc An ninh mang.,An ninh mang
Nghe thuat,Ly,Can than,Kien tri,Truong hoc,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Truyen thong da phuong tien, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Truyen thong da phuong tien.,Truyen thong da phuong tien
Cong nghe,Anh,Sang tao,Ti mi,Sang tao,Khoi nghiep,"Em rat quan tam den marketing digital quang cao thuong hieu social media, vi em thay linh vuc nay phu hop tinh cach. Em cung quan tam den kiem chung thong tin va xay dung thong diep cong chung.",Duong dai em mong muon lam chuyen vien marketing digital va brand.,Marketing
Cong nghe,Hoa,Ky luat,Ti mi,Truong hoc,Thu nhap cao,"Em rat quan tam den Em thich lam viec voi Dieu khien va quan ly tau bien, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Dieu khien va quan ly tau bien.,Dieu khien va quan ly tau bien
Nghe thuat,Toan,Phan tich,Huong ngoai,Van phong,On dinh,"Ban than em yeu thich Em thich lam viec voi Ky thuat phan mem, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Ky thuat phan mem.,Ky thuat phan mem
Nghe thuat,Van,Ky luat,Kien tri,Truong hoc,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Tam ly hoc, va muon phat trien lau dai.",Duong dai em mong muon Em muon lam viec trong linh vuc Tam ly hoc.,Tam ly hoc
Nghe thuat,Su,Phan tich,Kien tri,Van phong,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Quan tri nhan luc, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quan tri nhan luc.",Quan tri nhan luc
Cong nghe,Ly,Kien nhan,Nang dong,Van phong,Theo dam me,"Em rat quan tam den Em thich lam viec voi Su pham Vat ly, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Su pham Vat ly.,Su pham Vat ly
Ngon ngu,Van,Lanh dao,Huong ngoai,Truong hoc,Khoi nghiep,"Gan day em dau tu thoi gian cho xay dung ky nang viet hoc thuat va thuyet trinh, vi em thay linh vuc nay phu hop tinh cach. Em cung quan tam den tao trai nghiem hanh trinh an toan va dang nho.",Em dinh huong se lam bien dich vien hoac giao vien tieng Anh.,Ngon ngu Anh
Phap ly,Van,Lanh dao,Huong ngoai,Ky thuat,Thu nhap cao,"Em rat quan tam den Em thich lam viec voi Luat kinh te, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Luat kinh te.",Luat kinh te
Kinh doanh,Hoa,Ky luat,Kien nhan,Benh vien,Khoi nghiep,"Ban than em yeu thich Em thich lam viec voi Quan tri khach san, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Quan tri khach san.,Quan tri khach san
Giao duc,Sinh,Giao tiep,Kien tri,Benh vien,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ky thuat o to, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ky thuat o to.",Ky thuat o to
Ngon ngu,Ly,Lanh dao,Huong noi,Benh vien,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Quan he cong chung, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Quan he cong chung.,Quan he cong chung
Giao duc,Ly,Kien nhan,Huong ngoai,Linh hoat,Cong hien xa hoi,"Ban than em yeu thich Em quan tam lam viec voi Nghe thuat so, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Nghe thuat so.,Nghe thuat so
Nghe thuat,Van,Tu duy khong gian,Kien nhan,Ky thuat,Cong hien xa hoi,"Em co xu huong tap trung vao noi that cong cong anh sang tu nhien my thuat, de ket hop dam me voi nang luc cua minh.",Em dinh huong se lam kien truc su thiet ke cong trinh.,Kien truc
Y te,Ly,Sang tao,Nang dong,Linh hoat,On dinh,"Em rat quan tam den Em thich lam viec voi Thiet ke game, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Thiet ke game.,Thiet ke game
Kinh doanh,Van,Ky luat,Kien tri,Ky thuat,Khoi nghiep,"Em rat quan tam den Em thich lam viec voi Quan he cong chung, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quan he cong chung.",Quan he cong chung
Kinh doanh,Toan,Lanh dao,Ti mi,Benh vien,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Vat ly tri lieu cung nhu phuc hoi chuc nang, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.,Vat ly tri lieu va phuc hoi chuc nang
Phap ly,Sinh,Ky luat,Ban linh,Truong hoc,Thu nhap cao,"Em rat quan tam den Em thich lam viec voi Khoi nghiep va doi moi sang tao, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Khoi nghiep va doi moi sang tao.,Khoi nghiep va doi moi sang tao
Nghe thuat,Anh,Ky luat,Kien tri,Truong hoc,Theo dam me,"Ban than em yeu thich Em quan tam lam viec voi Kinh doanh quoc te, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Kinh doanh quoc te.",Kinh doanh quoc te
Nghe thuat,Hoa,Giao tiep,Kien tri,Linh hoat,Theo dam me,"Em rat quan tam den Em quan tam lam viec voi Kinh doanh quoc te, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
Giao duc,Toan,Sang tao,Ti mi,Linh hoat,On dinh,"Em co xu huong tap trung vao Em quan tam lam viec voi My thuat, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc My thuat.",My thuat
Kinh doanh,Van,Phan tich,Ti mi,Linh hoat,Khoi nghiep,"Em rat quan tam den nghien cuu thi truong cung nhu chien luoc tiep thi, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon lam chuyen vien marketing digital va brand.",Marketing
Y te,Ly,Kien nhan,Kien tri,Ky thuat,Theo dam me,"Ban than em yeu thich Em quan tam lam viec voi Cong tac xa hoi, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Cong tac xa hoi.,Cong tac xa hoi
Kinh doanh,Su,Can than,Kien nhan,Ky thuat,Khoi nghiep,"Ban than em yeu thich Em quan tam lam viec voi Quan tri khach san, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quan tri khach san.,Quan tri khach san
Kinh doanh,Van,Phan tich,Nang dong,Sang tao,Cong hien xa hoi,"Em co xu huong tap trung vao marketing digital quang cao thuong hieu social media, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon lam chuyen vien marketing digital va brand.,Marketing
Giao duc,Ly,Phan tich,Ban linh,Linh hoat,On dinh,"Em thuong tim hieu them ve Em thich lam viec voi Ngon ngu Trung, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Ngon ngu Trung.,Ngon ngu Trung
Ngon ngu,Van,Ky luat,Huong noi,Ky thuat,Thu nhap cao,"Ban than em yeu thich Em thich lam viec voi Ngon ngu Han, va muon phat trien lau dai.",Duong dai em mong muon Em muon lam viec trong linh vuc Ngon ngu Han.,Ngon ngu Han
Cong nghe,Su,Kien nhan,Ban linh,Benh vien,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Tam ly hoc, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Tam ly hoc.,Tam ly hoc
Y te,Ly,Giao tiep,Kien tri,Linh hoat,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Truyen thong da phuong tien, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Truyen thong da phuong tien.,Truyen thong da phuong tien
Nghe thuat,Hoa,Can than,Ti mi,Truong hoc,Theo dam me,"Em thuong tim hieu them ve Em thich lam viec voi Dinh duong, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Dinh duong.,Dinh duong
Cong nghe,Ly,Phan tich,Kien tri,Linh hoat,Theo dam me,"Em thuong tim hieu them ve Em thich lam viec voi Su pham Hoa hoc, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Su pham Hoa hoc.,Su pham Hoa hoc
Ngon ngu,Van,Ky luat,Kien tri,Van phong,Theo dam me,"Em co xu huong tap trung vao Em quan tam lam viec voi Su pham Tin hoc, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Su pham Tin hoc.",Su pham Tin hoc
Ngon ngu,Hoa,Ky luat,Nang dong,Van phong,Theo dam me,"Em thuong tim hieu them ve Em thich lam viec voi Quay phim - Dung phim, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Giao duc,Anh,Phan tich,Ti mi,Truong hoc,Thu nhap cao,"Ban than em yeu thich Em thich lam viec voi Ky thuat hinh anh y hoc, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat hinh anh y hoc.,Ky thuat hinh anh y hoc
Giao duc,Toan,Sang tao,Ban linh,Truong hoc,Theo dam me,"Ban than em yeu thich Em thich lam viec voi Su pham Sinh hoc, va muon phat trien lau dai.",Duong dai em mong muon Em muon lam viec trong linh vuc Su pham Sinh hoc.,Su pham Sinh hoc
Nghe thuat,Van,Tu duy khong gian,Ti mi,Ky thuat,Khoi nghiep,"Ban than em yeu thich ket cau xay dung 3D mo hinh vat lieu xanh, de tao gia tri thuc te cho cong viec.",Em dinh huong se lam kien truc su thiet ke cong trinh.,Kien truc
Cong nghe,Van,Can than,Kien tri,Ky thuat,On dinh,"Ban than em yeu thich Em quan tam lam viec voi Quay phim - Dung phim, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quay phim - Dung phim.",Quay phim - Dung phim
Giao duc,Hoa,Giao tiep,Ti mi,Van phong,Thu nhap cao,"Em thuong tim hieu them ve Em quan tam lam viec voi Ho sinh, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ho sinh.,Ho sinh
Cong nghe,Ly,Ky luat,Nang dong,Benh vien,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Su pham Lich su, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Lich su.,Su pham Lich su
Du lich,Anh,Sang tao,Nang dong,Linh hoat,Thu nhap cao,"Em co xu huong tap trung vao lap lich trinh tour an toan va dang nho, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon tro thanh huong dan du lich chuyen nghiep.,Huong dan du lich
Ngon ngu,Ly,Can than,Ban linh,Linh hoat,Khoi nghiep,"Em thuong tim hieu them ve Em thich lam viec voi Tam ly hoc, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Tam ly hoc.,Tam ly hoc
Phap ly,Hoa,Can than,Ban linh,Linh hoat,Thu nhap cao,"Em rat quan tam den Em quan tam lam viec voi Ngon ngu Nhat, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Ngon ngu Nhat.,Ngon ngu Nhat
Y te,Sinh,Giao tiep,Ti mi,Linh hoat,On dinh,"Em thuong tim hieu them ve sinh hoc suc khoe ho tro bac si va gia dinh, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon lam dieu duong benh vien hoac y te cong dong.,Dieu duong
Ngon ngu,Van,Phan tich,Ti mi,Van phong,Theo dam me,"Em rat quan tam den xay dung ky nang viet hoc thuat va thuyet trinh, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la lam bien dich vien hoac giao vien tieng Anh.,Ngon ngu Anh
Giao duc,Ly,Sang tao,Nang dong,Ky thuat,Theo dam me,"Em rat quan tam den Em thich lam viec voi Luat kinh te, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Luat kinh te.,Luat kinh te
Cong nghe,Van,Giao tiep,Huong ngoai,Ky thuat,On dinh,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ky thuat o to, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat o to.,Ky thuat o to
Kinh doanh,Toan,Kien nhan,Nang dong,Truong hoc,Khoi nghiep,"Ban than em yeu thich Em thich lam viec voi Ky thuat phan mem, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ky thuat phan mem.,Ky thuat phan mem
Nghe thuat,Ly,Sang tao,Ti mi,Benh vien,Khoi nghiep,"Em thuong tim hieu them ve Em thich lam viec voi Rang ham mat, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Rang ham mat.",Rang ham mat
Y te,Su,Lanh dao,Kien nhan,Ky thuat,On dinh,"Em rat quan tam den Em thich lam viec voi Quan ly benh vien, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Ngon ngu,Anh,Can than,Ti mi,Van phong,Khoi nghiep,"Em rat quan tam den Em thich lam viec voi Vat ly tri lieu va phuc hoi chuc nang, va muon phat trien lau dai.",Duong dai em mong muon Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.,Vat ly tri lieu va phuc hoi chuc nang
Kinh doanh,Anh,Giao tiep,Kien tri,Van phong,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ngon ngu Nhat, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ngon ngu Nhat.,Ngon ngu Nhat
Phap ly,Tin hoc,Kien nhan,Kien tri,Ky thuat,On dinh,"Em rat quan tam den Em quan tam lam viec voi Quay phim - Dung phim, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Nghe thuat,Anh,Sang tao,Kien nhan,Benh vien,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Dia ly hoc, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Dia ly hoc.,Dia ly hoc
Phap ly,Anh,Ky luat,Kien tri,Linh hoat,On dinh,"Em rat quan tam den Em quan tam lam viec voi Dia ly hoc, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Dia ly hoc.,Dia ly hoc
Ngon ngu,Sinh,Giao tiep,Nang dong,Truong hoc,On dinh,"Em rat quan tam den Em thich lam viec voi Ngon ngu Nhat, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Ngon ngu Nhat.,Ngon ngu Nhat
Cong nghe,Tin hoc,Phan tich,Ti mi,Ky thuat,Thu nhap cao,"Em rat quan tam den van hanh xuong san xuat va toi uu quy trinh, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon lam ky su co khi che tao va bao tri.",Ky thuat co khi
Ngon ngu,Van,Sang tao,Kien nhan,Linh hoat,Khoi nghiep,"Ban than em yeu thich Em quan tam lam viec voi Kinh doanh quoc te, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
